order_no,order_date,customer name,address,city,state,customer_type,account_id,order_priority,product_id,product_container,ship_mode,ship_date,cost_price,retail_price,order_quantity,sub_total,discount_%,discount_$,order_total,shipping_cost,total
5014-1,2/11/2013,Patrick Jones,"221 Barkly St,St Kilda",Melbourne,VIC,Home Office,9,High,1,Small Box,Regular Air,2/12/2013,3.52,5.58,29,161.82,0.03,4.85,161.79,2.99,164.78
5016-1,2/11/2013,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,8,High,2,Wrap Bag,Regular Air,2/12/2013,2.39,4.26,29,123.54,0.03,3.71,123.51,1.2,124.71
5018-1,2/12/2013,Tamara Dahlen,"61 York St,Sydney",Sydney,NSW,Corporate,5,Critical,3,Wrap Bag,Express Air,2/14/2013,2.41,3.71,42,155.82,0.07,10.91,155.75,1.93,157.68
5019-1,2/13/2013,Susan Vittorini,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,9,High,4,Jumbo Drum,Delivery Truck,2/15/2013,75,120.97,6,725.82,0.08,58.07,725.74,26.3,752.04
5020-1,2/14/2013,Muhammed Yedwab,"18 Whistler St,Sydney",Sydney,NSW,Consumer,12,Critical,5,Wrap Bag,Regular Air,2/15/2013,0.9,2.1,17,35.7,0.03,1.07,35.67,0.7,36.37
5022-1,2/15/2013,Jasper Cacioppo,"24 Addison Rd,Marrickville",Sydney,NSW,Home Office,13,Medium,6,Small Box,Regular Air,2/16/2013,1.19,1.98,3,5.94,0.05,0.3,5.89,4.77,10.66
5023-1,2/17/2013,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,9,Low,7,Wrap Bag,Regular Air,2/22/2013,1.09,2.6,47,122.2,0.1,12.22,122.1,2.4,124.5
5024-1,2/18/2013,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Corporate,4,Critical,8,Small Box,Regular Air,2/20/2013,99.39,162.93,32,5213.76,0.09,469.24,5213.67,19.99,5233.66
5025-1,2/20/2013,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Consumer,4,Critical,9,Wrap Bag,Regular Air,2/22/2013,1.09,1.68,33,55.44,0.04,2.22,55.4,1,56.4
5027-1,2/22/2013,Toby Swindell,"273 George Street,Sydney",Sydney,NSW,Small Business,5,Not Specified,10,Small Box,Regular Air,2/23/2013,54.29,90.48,8,723.84,0.07,50.67,723.77,19.99,743.76
5029-1,2/23/2013,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Corporate,6,Not Specified,11,Small Box,Regular Air,2/23/2013,5.33,8.6,48,412.8,0,0,412.8,6.19,418.99
5030-1,2/24/2013,Sylvia Foulston,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Corporate,1,Medium,12,Wrap Bag,Regular Air,2/25/2013,0.87,1.81,41,74.21,0.03,2.23,74.18,0.75,74.93
5031-1,2/25/2013,Paul Prost,"120 Hardware St,Melbourne",Melbourne,VIC,Corporate,8,Medium,13,Small Box,Regular Air,2/27/2013,4.89,7.64,18,137.52,0.1,13.75,137.42,1.39,138.81
5033-1,2/25/2013,Katherine Ducich,"61A Bay Road,Wollstonecraft",Sydney,NSW,Corporate,2,Medium,10,Small Box,Regular Air,2/27/2013,54.29,90.48,3,271.44,0.03,8.14,271.41,19.99,291.4
5034-1,2/26/2013,Natalie Webber,"98-104 Parramatta Rd,Camperdown",Sydney,NSW,Corporate,4,High,14,Small Box,Regular Air,2/26/2013,36.02,58.1,50,2905,0.05,145.25,2904.95,1.49,2906.44
5036-1,3/7/2013,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,9,Critical,15,Wrap Bag,Regular Air,3/10/2013,0.71,1.14,50,57,0.06,3.42,56.94,0.7,57.64
5037-1,3/11/2013,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Home Office,11,Critical,16,Small Pack,Regular Air,3/13/2013,3.42,8.34,16,133.44,0.03,4,133.41,2.64,136.05
5038-1,3/13/2013,Darren Powers,"120 Hardware St,Melbourne",Melbourne,VIC,Corporate,8,Low,15,Wrap Bag,Regular Air,3/13/2013,0.71,1.14,38,43.32,0.02,0.87,43.3,0.7,44
5039-1,3/15/2013,Michael Grace,"402 Argyle St,Moss Vale",Sydney,NSW,Corporate,6,Medium,17,Small Box,Regular Air,3/16/2013,4.59,7.28,22,160.16,0.01,1.6,160.15,11.15,171.3
5040-1,3/16/2013,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,1,Low,18,Wrap Bag,Regular Air,3/20/2013,1.3,2.88,48,138.24,0.07,9.68,138.17,1.01,139.18
5042-1,3/21/2013,Thais Sissman,"53-55 Liverpool St,Sydney",Sydney,NSW,Small Business,1,Low,19,Small Pack,Regular Air,3/28/2013,5.5,12.22,5,61.1,0.04,2.44,61.06,2.85,63.91
